PWSID,Water System Name,Water System Classification,Water System Ownership,Physical location Address 1,Physical location Address 2,Physical location City,Physical location Zip,Website URL,Population Res,WR Type CODE,Water Rate Type,WR Num Tiers,WR Rate Updated,WR Rate Changes,WR Frequency,WR New Connection Fee,WR Connection Fee Updated,WR SF FBR,WR SF Amt per HCF,WR SF Amt Low,WR SF Amt High,WR SF Amt per HCF Low,WR SF Amt per HCF High,WR MF FBR,WR MF Amt per HCF,WR MF Amt Low,WR MF Amt High,WR MF Amt per HCF Low,WR MF Amt per HCF High,WR Subsidies,WR S FBR,WATER RATES Lifeline UUR VOLUME,WR S Amt Low,WR S Amt High,WR S Amt per HCF Low,WR S Amt per HCF High,WR S Amt Percent,WR CI FBR,WR CI Amt per HCF,WR CI Amt Low,WR CI Amt High,WR CI Amt per HCF Low,WR CI Amt per HCF High,WR I FBR,WR I Amt per HCF,WR I Amt Low,WR I Amt High,WR I Amt per HCF Low,WR I Amt per HCF High,WR LI FBR,WR LI Amt per HCF,WR LI Amt Low,WR LI Amt High,WR LI Amt per HCF Low,WR LI Amt per HCF High,WR AI FBR,WR AI Amt per HCF,WR AI Amt Low,WR AI Amt High,WR AI Amt per HCF Low,WR AI Amt per HCF High,WR O FBR,WR O Amt per HCF,WR O Amt Low,WR O Amt High,WR O Amt per HCF Low,WR O Amt per HCF High,WR FS Surcharges,WR FS FBR,WR FS Amt per HCF,WR FS Amt Low,WR FS Amt High,WR FS Amt per HCF Low,WR FS Amt per HCF High,WR Other Surcharges,WR Other Surcharges Description,WR OS FBR,WR OS Amt per HCF,WR OS Amt Low,WR OS Amt High,WR OS Amt per HCF Low,WR OS Amt per HCF High,WR AVG Mon Res Cost,WR AVG Mon Res Cost 6 CCF,WR AVG Mon Res Cost 12 CCF,WR AVG Mon Res Cost 24 CCR,SYSTEM,EAR YEAR 
CA1400109,SIERRA NORTH COMMUNITY SERVICE DISTRICT,Community Water System,Local Government, ,NORTH ST.,BISHOP,93514,N/A,35,FBR,Flat Base Rate: Basic charge that all customers pay, , , ,M, , ,$55.00 , , , , , ,na, , , , , ,No, , , , , , , ,$55.00 , , , , , ,na, , , , , ,na, , , , , ,na, , , , , ,na, , , , , ,No, , , , , , ,No, , , , , , , ,$55.00 , , , ,SMALL,2015
CA1400110,PARK WEST MUTUAL WATER COMPANY,Community Water System,Privately owned Mutual Water Company or Association, , ,BISHOP,93514,N/A,200,VBR,"Variable Base Rate: Basic charge is different, depending on size of pipe, water meter, or other factors", , , ,M, , ,Water Cost, , , , , ,na, , , , , ,No, , , , , , , ,na, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,No, , , , , , ,No, , , , , , , ,$125.00 , , , ,SMALL,2015
CA5400551,SIERRA GLEN MHP, ,-, , ,BADGER,93603,,10, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5403144,ALI MUTUAL WATER CO,Community Water System,-,14002 AVE 232, ,TULARE,93274,,25, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5601716,USFS - WHEELER GORGE CAMPGROUND,Transient Noncommunity Water System,-,17017 Maricopa Highway, ,OJAI,93023,http://www.fs.fed.us/r5/lospadres, ,N/A,Not Applicable, , , ,-, , , , , , , , , , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , ,-, , , , , , , , , , , ,SMALL,2015
CA1900556,VASQUEZ ROCKS COUNTY PARK,Transient Noncommunity Water System,-,,,,,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5403202,SALLY TRACH WATER SYSTEM,Community Water System,Privately owned business (non-community),, ,PORTERVILLE,93257,,,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA5403200,OL' BUCKAROO,Transient Noncommunity Water System,-,41695 SIERRA DRIVE, ,THREE RIVERS,93271,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5400964,SIERRA VISTA ASSN,Community Water System,-,COUNTY LINE RD, ,DELANO,93215,,44, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA1800516,LITTLE VALLEY CSD,Community Water System,-,,,,,,99,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3210006,LAKE ALMANOR COUNTRY CLUB MWC,Community Water System,Privately owned Mutual Water Company or Association,901 CLIFFORD DRIVE, ,LAKE ALMANOR,96137,,850, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA3210009,CHESTER PUBLIC U.D.,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA5403211,BOOTH RANCHES LLC,Nontransient Noncommunity Water System,-,12201 AVENUE 480, ,ORANGE COVE,93646,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5403207,SUN VALLEY PACKING,Transient Noncommunity Water System,-,7381 AVE 432, ,REEDLEY,93654,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5400761,LAKE ELOWIN RESORT,Transient Noncommunity Water System,-,43840 DINELEY RD., ,THREE RIVERS,93271,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5400968,IMPROVEMENT DIST #1,Community Water System,-,SKYLINE @ ALTA aCRES DRIVE, ,THREE RIVERS,93271,,200, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5401092,SIERRA GLEN STORE,Transient Noncommunity Water System,-,50434 WHITAKER FOREST DRIVE, ,BADGER,93603,, ,N/A,Not Applicable, , , ,-, , , , , , , , , , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , ,-, , , , , , , , , , , ,SMALL,2015
CA2702199, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5400984,SUCCESS MARKET,Transient Noncommunity Water System,-,28420 HWY 190, ,PORTERVILLE,93257,, ,N/A,Not Applicable, , , ,-, , , , , , , , , , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , ,-, , , , , , , , , , , ,SMALL,2015
CA5401094,RJ'S TRAVEL CENTER,Transient Noncommunity Water System,-, , ,TRAVER,93673,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
