"","PWSID","Survey","Year","SectionName","QuestionName","QuestionResults","SurveyID","SectionID","QuestionID","Pk","QCat"
"1","CA2710001","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"2","CA2710005","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"3","CA2710004","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","The zeros above mean no accurate information is available",21,6,78411,"Water Rates and Deliveries-78411","WR"
"4","CA2710007","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"5","CA2710009","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"6","CA2710008","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"7","CA3610012","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"8","CA3610014","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"9","CA3610015","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"10","CA3610013","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"11","CA3610018","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"12","CA3610019","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","San Bernardino Valley Municipal Water District provides water to West Valley Water District, Riverside Highland Water Company, and  the City of Rialto for distribution.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"13","CA3610023","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"14","CA3610024","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"15","CA3610049","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","Yes",21,6,78411,"Water Rates and Deliveries-78411","WR"
"16","CA3610050","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"17","CA3610052","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"18","CA3610053","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"19","CA3610055","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"20","CA3610057","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"21","CA3610061","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"22","CA3610063","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","The requirements of SB 998 take effect in 2020.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"23","CA3610064","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"24","CA3610062","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"25","CA3610075","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"26","CA3610073","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","We do have an extension policy in place to allow for aditional time to pay, data regarding who and how many times is not collected.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"27","CA3610085","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","sawaterco.com",21,6,78411,"Water Rates and Deliveries-78411","WR"
"28","CA3610086","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"29","CA3610107","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"30","CA3610109","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"31","CA3610112","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"32","CA3610114","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"33","CA3610121","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"34","CA3610125","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","We do not currently track occupied and non occupied accounts.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"35","CA3610120","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"36","CA3610129","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"37","CA3610703","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","US Marine Corps Base with own water supply. We do not charge for water and do not meter individual deliveries.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"38","CA3610705","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"39","CA3610854","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"40","CA3610851","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","This is an institution",21,6,78411,"Water Rates and Deliveries-78411","WR"
"41","CA3610850","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","NONE",21,6,78411,"Water Rates and Deliveries-78411","WR"
"42","CA3710001","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"43","CA3710002","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","Questions are not nuanced enough to capture variability of charges. Our agency has never tracked shutoffs with necessary level of granularity. We fear answers would be redundant to ongoing stakeholder processes and misinform LIRA program development.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"44","CA3710004","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"45","CA3710005","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"46","CA3710006","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"47","CA3710008","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"48","CA3710010","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"49","CA3710013","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"50","CA3710014","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"51","CA3710015","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"52","CA3710016","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"53","CA3710018","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"54","CA3710019","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"55","CA3710020","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"56","CA3710021","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"57","CA3710023","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"58","CA3710026","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"59","CA3710025","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"60","CA4210700","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"61","CA4310012","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","Discontinuance of Service policy located in Municipal Services Division Utility Services Rules and Regulations No. 5",21,6,78411,"Water Rates and Deliveries-78411","WR"
"62","CA4310013","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"63","CA4310014","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"64","CA4310018","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"65","CA3910001","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"66","CA4310019","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"67","CA3910004","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"68","CA3910003","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"69","CA4810008","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"70","CA4810009","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","n/a",21,6,78411,"Water Rates and Deliveries-78411","WR"
"71","CA4810004","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"72","CA4810701","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"73","CA4810800","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"74","CA4810015","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"75","CA5210001","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"76","CA5210004","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"77","CA5210005","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"78","CA5310001","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"79","CA4910002","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"80","CA4910006","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","Municipal Code and Rate Resolution",21,6,78411,"Water Rates and Deliveries-78411","WR"
"81","CA4910005","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"82","CA4910007","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"83","CA4910008","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"84","CA4910009","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"85","CA4910004","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","0",21,6,78411,"Water Rates and Deliveries-78411","WR"
"86","CA4910012","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"87","CA4910013","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"88","CA4910011","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"89","CA4910014","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"90","CA4910016","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"91","CA4910017","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"92","CA4910020","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"93","CA4910021","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"94","CA4910023","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"95","CA4910027","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"96","CA4910028","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"97","CA5710003","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"98","CA5710005","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"99","CA5710006","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
