utility_name,pwsid,effective_date,bill_frequency,bill_unit,usage_ccf,avg_household_size,et_amount,bill_type,service_charge,commodity_charge,bill,tier_starts,tier_0,tier_prices,median_income_category,approximate_median_income,check,bill_frequency_update,Tier_number,Tier_price,Tier_volume
Alameda County Water District,CA0110001,2018-03-01,Bi-Monthly,converted to kgal,9,3.05628249814296,7.78438465116279,Uniform,26.16,18.245,31.33,NA,NA,4.249,"$100,000 to $124,999",112500,0,Monthly,1,3.178472948,NA
Alco Water Service,CA2710001,2014-07-27,Monthly,converted to kgal,15.7217756057432,3.9688756635033,3.45828181818182,Tiered,21.32,39.64,61.65,0-10,0,2.3228-2.7875,"$45,000 to $49,999",47500,0,Monthly,1,1.7375751856000001,7.48052
Alhambra  City Of,CA1910001,2013-07-01,Bi-Monthly,converted to kgal,10,2.64419809863747,9.27583047619048,Tiered,11.67,13.6,19.435,0-13-21,0,2.72-2.88-2.96,"$50,000 to $59,999",55000,0,Monthly,1,2.03470144,4.862338
Amador Water Agency,CA0310002,2017-10-01,Monthly,converted to kgal,8.45989976470588,3,4.43517086363636,Uniform,25.08,20.64,45.72,NA,NA,2.44,NA,NA,1,Monthly,1,1.8252468800000001,NA
American Canyon  City Of,CA2810005,2017-06-01,Monthly,converted to kgal,9.05509813832564,3.25012423389101,3.75068363636364,Tiered,6.4,49.23,55.63,0-9-21,0,5.33-6.25-6.54,"$75,000 to $99,999",87500,0,Monthly,1,3.9871171600000004,6.732468000000001
Anaheim City of,CA3010001,2016-02-01,Monthly,converted to kgal,10.3790633736565,3.14614798460366,4.43757590909091,Uniform,12.97,5.19,18.16,NA,NA,0.5,"$60,000 to $74,999",67500,0,Monthly,1,0.374026,NA
Anderson  City Of,CA4510001,2015-12-01,Monthly,converted to kgal,12.8718366956483,2.36300417246175,4.75870513513514,Uniform,12.3,0.15,12.45,NA,NA,0.01192,"$35,000 to $39,999",37500,0,Monthly,1,0.00891677984,NA
Antioch  City Of,CA0710001,2017-07-01,Monthly,converted to kgal,10.2575915661487,2.99416882636061,4.55730188636364,Tiered,21.2,32.52,53.72,0-12,0,3.17-5.24,"$60,000 to $74,999",67500,1,Monthly,1,2.37132484,8.976624000000001
Apple Valley Ranchos Water Company,CA3600010,2017-01-01,monthly,converted to kgal,15,3,4,Tiered,34.73,63.14,97.87,0-12-24,0,4.039-4.677-5.315,NA,NA,1,Monthly,1,3.021382028,8.976624000000001
Arcadia  City Of,CA1910003,2017-04-01,Bimonthly,converted to kgal,19,2.79701348230112,9.14833409090909,Tiered,10.17,16.26,21.345,0-23-49-67,0,1.54-1.88-2.13-2.29,"$75,000 to $99,999",87500,0,Monthly,1,1.15200008,8.602598
Arcata  City Of,CA1210001,2017-10-01,Monthly,converted to kgal,4.18524809817265,2.16500579374276,4.22563388636364,Tiered,12.16,14.09,26.25,0-3-5,0,3.1-3.34-6.54,"$35,000 to $39,999",37500,1,Monthly,1,2.3189612000000004,2.2441560000000003
Arrowbear Park County Water District,CA3610110,2016-12-19,Monthly,converted to kgal,15,3,4,Tiered,27.5,58.5,86,0-7,0,0-6.5,NA,NA,1,Monthly,1,0,5.236364
Arroyo Grande  City Of,CA4010001,2017-08-09,Monthly,converted to kgal,9.01522176028517,2.41477793790122,4.01337136363636,Tiered,34.34,36.6,70.94,0-18-36,0,4.06-4.47-5.96,"$60,000 to $74,999",67500,1,Monthly,1,3.03709112,13.464936000000002
Arvin Community Services District,CA1510001,2018-01-01,Monthly,converted to kgal,12.6273270237118,4.04505813953488,5.15060590909091,Uniform,26.51,19.32,45.83,NA,NA,1.53,"$35,000 to $39,999",37500,1,Monthly,1,1.14451956,NA
Atascadero Mutual Water Company,CA4010002,2016-05-01,Monthly,converted to kgal,10,2.5666547213761,4.1652788372093,Tiered,20,16.39,38.89,0-1-10-25-50-75,0,0-2.1-3.25-4.8-5.5-7,"$60,000 to $74,999",67500,0,Monthly,1,0,1
Azusa  City Of,CA1910007,2017-07-01,Monthly,converted to kgal,10.7631136408107,3.31446747383542,4.49060636363636,Tiered,14.87,15.79,30.66,0-5-15,0,1.05-1.714-2.162,"$60,000 to $74,999",67500,1,Monthly,1,0.7854546000000001,3.74026
Bakersfield  City Of,CA1510031,2017-10-01,Monthly,converted to kgal,19.6057343701561,2.79514351459368,4.99323727272727,Uniform,11.46,21.37,32.83,NA,NA,1.09,"$60,000 to $74,999",67500,0,Monthly,1,0.8153766800000001,NA
Bakman Water Company,CA1010001,2018-05-31,Bi-Monthly,converted to kgal,20,3.16526005888126,9.95626727272727,Uniform,4.82,10.71,13.12,NA,NA,1.05,"$30,000 to $34,999",32500,0,Monthly,1,0.7854546000000001,NA
Banning  City of,CA3310006,2017-07-01,Monthly,converted to kgal,12.2644748439519,2.58822262891592,4.97887454545455,Tiered,20.94,23.2,44.14,0-12-25,0,1.84-2.34-2.64,"$35,000 to $39,999",37500,1,Monthly,1,1.3764156800000003,8.976624000000001
Bear State Water Works,CA0900217,2017-08-15,Monthly,converted to kgal,15,3,4,Tiered,4.17,14.6,18.77,0-6-12,0,0-2.25-5,NA,NA,0,Monthly,1,0,6
Beaumont-Cherry Valley Water District,CA3310002,2015-01-01,Monthly,converted to kgal,19.090596797584,2.76564334843147,4.98284204545455,Tiered,27.02,18.33,45.35,0-45,0,0.96-1.05,"$50,000 to $59,999",55000,1,Monthly,1,0.71812992,33.66234
Bellflower-Somerset Mutual Water Company,CA1910013,2014-10-01,bimonthly,converted to kgal,9,2.89073482428115,8.57701454545455,Uniform,14.18,8.145,15.235,NA,NA,1.75,"$40,000 to $44,999",42500,0,Monthly,1,1.309091,NA
Benicia  City Of,CA4810001,2017-07-01,Bi-Monthly,converted to kgal,7,2.39526825188195,8.01264359090909,Uniform,15.08,14.74,22.28,NA,NA,4.13,"$75,000 to $99,999",87500,0,Monthly,1,3.08945476,NA
Beverly Hills City of,CA1910156,2017-07-03,Bimonthly,converted to kgal,11,2.01374914636922,9.27912227272727,Tiered,21.68,26.415,37.255,0-11-56-121,0,3.9-5.15-8.12-15.68,"$75,000 to $99,999",87500,0,Monthly,1,2.9174028,4.114286
Big Bear City Community Service District,CA3610008,2017-07-01,Bi-Monthly,converted to kgal,6,2.39377406931964,9.01828181818182,Tiered,36.98,6.085,24.575,0-13-39,0,1.9-2.04-2.83,"$35,000 to $39,999",37500,0,Monthly,1,1.4212988,4.862338
Big Bear Lake  City Of,CA3610022,2017-04-01,Bi-Monthly,converted to kgal,15,3,8,Tiered,45.6,16.73,39.53,0-9-25-41-61-100,0,0-2.75-3.82-5.69-9.69-13.03,NA,NA,0,Monthly,1,0,3.3662340000000004
Blythe  City Of,CA3301428,2017-07-01,Monthly,converted to kgal,15,3,4,Uniform,10.66,29.55,40.21,NA,NA,1.97,NA,NA,0,Monthly,1,1.47366244,NA
Brawley  City Of,CA1310001,2018-07-01,Monthly,converted to kgal,14,3.00106302201974,5.92689159090909,Uniform,38.24,18.95,57.19,NA,NA,1.82,"$40,000 to $44,999",42500,1,Monthly,1,1.82,NA
Brea  City Of,CA3010002,2017-07-01,Monthly,converted to kgal,10.2317690340411,2.64248381308994,4.32951886363636,Tiered,15.93,36.99,52.92,0-11-21-30,0,3.59-4.69-6.18-7.24,"$75,000 to $99,999",87500,1,Monthly,1,2.68550668,8.228572
Brentwood City of,CA0710004,2016-07-01,monthly,converted to kgal,11.3252260293147,2.6736798679868,4.69221159090909,Tiered,29.83,43.82,73.65,0-6-15-22,0,2.49-4.96-5.93-6.52,"$60,000 to $74,999",67500,1,Monthly,1,1.8626494800000002,4.4883120000000005
Buena Park  City Of,CA3010003,2018-01-01,Monthly,converted to kgal,11,3.2005415737496,4.25825977272727,Uniform,38.61,17.49,56.1,NA,NA,2.21,"$60,000 to $74,999",67500,1,Monthly,1,2.21,NA
Burbank City of,CA1910179,2017-01-02,monthly,converted to kgal,9.19047848524212,2.35914392208729,4.77442909090909,Tiered,12.29,11.55,39.37,0-16-31,0,1.257-1.548-1.948,"$60,000 to $74,999",67500,0,Monthly,1,0.940301364,11.968832
Burlingame City Of,CA4110003,2017-01-01,Bi-Monthly,converted to kgal,6,2.34445853813223,8.03494238095238,Tiered,36.36,21.79,39.97,0-4-8-16-24,0,8.47-9.5-10.54-11.58-12.61,"$100,000 to $124,999",112500,0,Monthly,1,8.47,2
Calaveras County Water District,CA0510004,2017-09-01,Bi-Monthly,converted to kgal,15,3,8,Tiered,85.17,5.76,48.345,0-15-90-180,0,0-1.44-1.8-2.3,NA,NA,0,Monthly,1,0,5.610390000000001
