Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,SE_A10010_001,SE_A10010_002,SE_A10010_003,SE_A10010_004,SE_A10010_005,SE_A10010_006,SE_A10010_007,SE_A10010_008,SE_A10010_009,SE_A10010_010,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14002_001,SE_A14002_002,SE_A14002_003,SE_A14002_004,SE_A14002_005,SE_A14002_006,SE_A14002_007,SE_A14002_008,SE_A14002_009,SE_A14002_010,SE_A14002_011,SE_A14002_012,SE_A18002_001,SE_A18002_002,SE_A18002_003,SE_A18002_004,SE_A18002_005,SE_A18002_006,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_A10066_001,SE_A10066_002,SE_A10066_003,SE_A10066_004,SE_A10066_005,SE_A10066_006,SE_A10066_007,SE_A10066_008,ACS18_5yr_B19019001,ACS18_5yr_B19019002,ACS18_5yr_B19019003,ACS18_5yr_B19019004,ACS18_5yr_B19019005,ACS18_5yr_B19019006,ACS18_5yr_B19019007,ACS18_5yr_B19019008,ACS18_5yr_B19019001s,ACS18_5yr_B19019002s,ACS18_5yr_B19019003s,ACS18_5yr_B19019004s,ACS18_5yr_B19019005s,ACS18_5yr_B19019006s,ACS18_5yr_B19019007s,ACS18_5yr_B19019008s,ACS18_5yr_B19025001,ACS18_5yr_B19025001s,ACS18_5yr_B25024001,ACS18_5yr_B25024002,ACS18_5yr_B25024003,ACS18_5yr_B25024004,ACS18_5yr_B25024005,ACS18_5yr_B25024006,ACS18_5yr_B25024007,ACS18_5yr_B25024008,ACS18_5yr_B25024009,ACS18_5yr_B25024010,ACS18_5yr_B25024011,ACS18_5yr_B25024001s,ACS18_5yr_B25024002s,ACS18_5yr_B25024003s,ACS18_5yr_B25024004s,ACS18_5yr_B25024005s,ACS18_5yr_B25024006s,ACS18_5yr_B25024007s,ACS18_5yr_B25024008s,ACS18_5yr_B25024009s,ACS18_5yr_B25024010s,ACS18_5yr_B25024011s
"0600135","16000US0600135","Acalanes Ridge CDP","Acalanes Ridge CDP, California","ca","160","00","ACSSF","0035493",,,,,"06",,,"00135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,889,836,0,0,35,0,18,0,889,871,836,0,0,35,0,0,0,18,287,287,0,0,0,0,0,0,0,287,9,9,0,0,0,0,0,0,9,0,287,0,0,0,0,18,32,0,20,0,25,11,0,15,5,37,124,287,0,0,0,0,0,50,20,36,0,20,161,9,0,9,0,0,0,9,0,0,287,18,104,56,57,52,0,0,195481,,,204833,250001,250001,,,61523.03125,,,96585.453125,,,,,47873900,10331808,287,287,0,0,0,0,0,0,0,0,0,47.27273,47.27273,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727
"0600156","16000US0600156","Acampo CDP","Acampo CDP, California","ca","160","00","ACSSF","0035494",,,,,"06",,,"00156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,294,294,0,0,0,0,0,0,294,294,294,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,138,69,69,0,0,0,0,0,0,69,0,138,0,0,0,0,19,0,0,0,0,0,0,0,0,69,0,50,138,0,0,0,0,0,19,0,0,0,69,50,69,0,0,19,0,50,69,19,0,138,19,102,0,17,0,0,0,141587,,,,,,,,54427.2734375,,,,,,,,21091400,12360747,138,138,0,0,0,0,0,0,0,0,0,67.87878,67.87878,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727
"0600212","16000US0600212","Acton CDP","Acton CDP, California","ca","160","00","ACSSF","0035495",,,,,"06",,,"00212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7185,7185,6294,98,24,153,0,444,172,7185,5914,5522,98,0,146,0,0,148,1271,2667,2367,12,14,40,0,180,54,402,2181,194,180,0,4,0,0,0,10,162,22,2667,96,66,40,84,49,122,41,108,82,178,151,333,330,185,408,394,2667,62,34,66,40,84,171,231,329,333,515,802,194,0,77,13,80,24,194,13,80,2667,526,1095,479,374,128,26,39,96801,41636,92540,134250,122422,110313,,,8076.9697265625,4841.818359375,7224.8486328125,31513.333984375,10967.87890625,38996.96875,,,318831100,15870656,2863,2589,0,0,0,0,0,35,8,213,18,81.21212,85.45454,10.30303,10.30303,10.30303,10.30303,10.30303,16.9697,7.878788,42.42424,12.12121
"0600296","16000US0600296","Adelanto city","Adelanto city, California","ca","160","00","ACSSF","0035496",,,,,"06",,,"00296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33416,33416,20417,6862,113,417,85,3742,1780,33416,11800,3981,6439,0,376,66,54,884,21616,7805,4752,1856,56,127,22,809,183,4471,1281,3775,2106,1277,8,34,3,274,73,603,1847,7805,745,527,540,521,756,561,250,591,384,470,885,785,392,170,202,26,7805,500,245,527,540,521,1317,1225,1355,785,562,228,3775,85,914,946,1672,158,3775,946,1672,7805,821,1761,1433,1114,1303,686,687,40018,25511,34004,32083,42500,45417,56667,43024,2410.9091796875,5746.060546875,4069.69702148438,11206.6669921875,7669.69677734375,4667.27294921875,9439.3935546875,13803.63671875,391053700,21065494,8626,6716,143,202,257,366,208,107,112,515,0,239.3939,221.2121,48.48485,49.69697,70.30303,68.48485,61.81818,40,42.42424,93.33334,15.75758
"0600310","16000US0600310","Adin CDP","Adin CDP, California","ca","160","00","ACSSF","0035497",,,,,"06",,,"00310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,201,171,0,22,0,0,0,8,201,201,171,0,22,0,0,0,8,0,84,84,0,0,0,0,0,0,0,84,18,18,0,0,0,0,0,0,18,0,84,0,10,7,9,0,0,9,0,0,22,0,7,0,20,0,0,84,0,0,10,7,9,0,9,22,7,20,0,18,0,8,0,10,0,18,0,10,84,35,32,0,10,0,7,0,56250,,126000,,,,,,14421.818359375,,56977.57421875,,,,,,5209100,1904965.5,128,128,0,0,0,0,0,0,0,0,0,26.06061,26.06061,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727
"0600394","16000US0600394","Agoura Hills city","Agoura Hills city, California","ca","160","00","ACSSF","0035498",,,,,"06",,,"00394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20636,20636,17045,551,0,1675,0,587,778,20636,18417,15497,513,0,1660,0,103,644,2219,7407,6316,65,0,645,0,165,216,667,5840,1694,1451,52,0,42,0,86,63,1327,210,7407,160,90,149,286,72,112,72,143,207,305,502,796,978,529,968,2038,7407,105,55,90,149,286,184,422,807,796,1507,3006,1694,22,796,366,445,65,1694,366,445,7407,1650,2038,1595,1633,419,60,12,121896,56250,125526,162546,154577,176027,250001,,3823.63647460938,10303.0302734375,9547.2724609375,11291.515625,30979.39453125,23520.60546875,,,1217326200,60698520,7787,5272,1339,22,264,240,325,95,230,0,0,170.303,169.697,156.9697,15.75758,74.54546,89.69697,76.9697,32.12121,84.24242,13.93939,13.93939
"0600450","16000US0600450","Agua Dulce CDP","Agua Dulce CDP, California","ca","160","00","ACSSF","0035499",,,,,"06",,,"00450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3728,3728,3312,12,0,95,0,226,83,3728,3038,2887,5,0,95,0,0,51,690,1161,1043,0,0,41,0,46,31,126,972,59,40,0,0,10,0,0,9,40,0,1161,50,32,20,79,59,23,8,37,10,37,171,57,109,74,145,250,1161,18,32,32,20,79,82,55,208,57,183,395,59,0,16,8,10,25,59,8,10,1161,186,425,161,194,79,47,69,86806,23281,109432,128162,70789,250001,,250001,29096.36328125,3090.9091796875,22207.2734375,53329.6953125,4360.60595703125,,,,144453800,16963580,1260,1126,47,0,0,0,0,0,0,87,0,53.93939,63.0303,22.42424,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,34.54546,7.272727
"0600464","16000US0600464","Aguanga CDP","Aguanga CDP, California","ca","160","00","ACSSF","0035500",,,,,"06",,,"00464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,835,756,36,0,0,0,33,10,835,631,597,24,0,0,0,0,10,204,337,300,24,0,0,0,13,0,59,254,116,103,0,0,0,0,13,0,103,13,337,12,0,0,34,17,20,34,12,30,12,17,70,17,0,54,8,337,12,0,0,0,34,37,76,29,70,17,62,116,0,91,0,0,25,116,0,0,337,20,233,43,33,8,0,0,56979,,78375,,46250,,,,26131.515625,,21036.96875,,4075.75756835938,,,,27297800,11852680,554,112,0,0,0,0,0,0,0,385,57,127.2727,44.84848,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,115.7576,53.93939
"0600478","16000US0600478","Ahwahnee CDP","Ahwahnee CDP, California","ca","160","00","ACSSF","0035501",,,,,"06",,,"00478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461,2461,2457,0,0,0,0,4,0,2461,2328,2328,0,0,0,0,0,0,133,911,911,0,0,0,0,0,0,18,893,203,203,0,0,0,0,0,0,203,0,911,51,18,16,9,20,16,10,33,105,76,116,153,96,39,75,78,911,37,14,18,16,9,36,148,192,153,135,153,203,15,150,0,0,38,203,0,0,911,124,495,73,140,79,0,0,70083,43125,76004,103359,,58250,,,8447.2724609375,16278.181640625,5643.0302734375,23920.60546875,,32908.484375,,,78821600,11417051,1063,865,0,0,0,0,0,0,0,198,0,93.93939,100,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,90.30303,7.272727
"0600535","16000US0600535","Airport CDP","Airport CDP, California","ca","160","00","ACSSF","0035502",,,,,"06",,,"00535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222,1222,1097,52,0,0,0,66,7,1222,271,212,52,0,0,0,0,7,951,461,364,52,0,0,0,38,7,301,101,310,224,52,0,0,0,27,7,76,175,461,130,47,46,0,22,7,36,0,8,22,23,86,34,0,0,0,461,105,25,47,46,0,29,44,45,86,34,0,310,8,88,42,144,28,310,42,144,461,178,137,49,17,26,31,23,28352,10957,,33393,,,,,14330.9091796875,5998.181640625,,20229.091796875,,,,,17793100,4034334.5,482,400,17,24,7,0,0,0,34,0,0,55.75758,54.54546,15.75758,13.93939,6.666667,7.272727,7.272727,7.272727,18.18182,7.272727,7.272727
