DWR_ORGANIZATION_ID,WATER_SUPPLIER_NAME,SUBMITTED_DATE,WUEDATA_PLAN_REPORT_YEAR,CONTACT_NAME,CONTACT_EMAIL_ADDRESS,CONTACT_PHONE,CONTACT_PHONE_EXT,SUPPLIER_NAME,CITY_TOWN_MUNICIPALITY,STATE_PROVINCE,COUNTRY,REPORTING_YEAR,REPORTING_YEAR_TYPE,REPORTING_START_DATE,REPORTING_END_DATE,AUDIT_PREPARATION_DATE,VOLUME_REPORTING_UNITS,PWS_ID_OR_OTHER_ID,WS_OWN_SOURCES_VOL_COMMENT,WS_OWN_SOURCES_VOL,WS_OWN_SOURCES_ERR_COMMENT,WS_OWN_SOURCES_ERR_ADJ_TYPE,WS_OWN_SOURCES_ERR_PERCENT,WS_OWN_SOURCES_ERR_VOL,WS_IMPORTED_VOL_COMMENT,WS_IMPORTED_VOL,WS_IMPORTED_ERR_COMMENT,WS_IMPORTED_ERR_ADJ_TYPE,WS_IMPORTED_ERR_PERCENT,WS_IMPORTED_ERR_VOL,WS_EXPORTED_VOL_COMMENT,WS_EXPORTED_VOL,WS_EXPORTED_ERR_COMMENT,WS_EXPORTED_ERR_ADJ_TYPE,WS_EXPORTED_ERR_PERCENT,WS_EXPORTED_ERR_VOL,WS_WATER_SUPPLIED_VOL,AC_BILL_METER_VOL_COMMENT,AC_BILL_METER_VOL,AC_BILL_UNMETER_VOL_COMMENT,AC_BILL_UNMETER_VOL,AC_UNBILL_METER_VOL_COMMENT,AC_UNBILL_METER_VOL,AC_UNBILL_UNMETER_VOL_COMMENT,AC_UNBILL_UNMETER_VOL,AC_UNBILL_UNMETER_ERR_ADJ_TYPE,AC_UNBILL_UNMETER_ERR_PERCENT,AC_UNBILL_UNMETER_ERR_VOL,AC_AUTH_CONSUMPTION_VOL,WL_UNAUTH_CONS_VOL_COMMENT,WL_UNAUTH_CONS_VOL,WL_UNAUTH_CONS_ERR_ADJ_TYPE,WL_UNAUTH_CONS_ERR_PERCENT,WL_UNAUTH_CONS_ERR_VOL,WL_CUST_MTR_INACC_VOL_COMMENT,WL_CUST_MTR_INACC_VOL,WL_CUST_MTR_INACC_ERR_ADJ_TYPE,WL_CUST_MTR_INACC_ERR_PERCENT,WL_CUST_MTR_INACC_ERR_VOL,WL_SYS_DATA_ERR_VOL_COMMENT,WL_SYS_DATA_ERR_VOL,WL_SYS_DATA_ERR_ERR_ADJ_TYPE,WL_SYS_DATA_ERR_ERR_PERCENT,WL_SYS_DATA_ERR_ERR_VOL,WL_APPARENT_LOSSES_VOL,WL_REAL_LOSSES_VOL,WL_WATER_LOSSES_VOL,NRW_NON_REVENUE_WATER_VOL,SD_LENGTH_MAINS_COMMENT,SD_LENGTH_MAINS_MILES,SD_NUM_SERVICE_CONN_COMMENT,SD_NUM_SERVICE_CONN,SD_SERVICE_CON_DENSITY,SD_CUST_MTR_CURB_PROP_COMMENT,SD_CUST_MTR_CURB_PROP_YES_NO,SD_AVG_OPER_PRESSURE_COMMENT,SD_AVG_OPER_PRESSURE_PSI,CD_TOTAL_ANNUAL_COST_COMMENT,CD_TOTAL_ANNUAL_COST,CD_CUST_RET_UNIT_COST_COMMENT,CD_CUST_RET_UNIT_COST,CD_CUST_RET_UNIT_COST_UNITS,CD_VARIABLE_PROD_COST_COMMENT,CD_VARIABLE_PROD_COST,WATER_AUDIT_VALIDITY_SCORE,PRIORITY_AREA_1,PRIORITY_AREA_2,PRIORITY_AREA_3,SA_APPARENT_LOSSES_VOL,SA_REAL_LOSSES_VOL,SA_WATER_LOSSES_VOL,SA_UNAVOID_ANN_REAL_LOSSES_VOL,SA_APPARENT_LOSSES_ANN_COST,SA_REAL_LOSSES_ANN_COST,SA_ANNUAL_COST_VALUED_AT,PI_FI_NON_REV_PERCENT_BY_VOL,PI_FI_NON_REV_PERCENT_BY_COST,PI_OE_APPARENT_LOSSES_GCD,PI_OE_REAL_LOSSES_GCD,PI_OE_REAL_LOSSES_GMD,PI_OE_REAL_LOSSES_GCD_PSI,PI_CURRENT_ANN_REAL_LOSSES_VOL,PI_INFRASTRUCT_LEAKAGE_INDEX,WS_UNITS_SHORT
263,Brea  City Of,9/20/17 8:25,2016,Brian Ingallinera,briani@ci.brea.ca.us,714-990-7672,,City of Brea,Brea,California (CA),USA,2016,Calendar Year,1/1/16,12/31/16,4/27/17,Acre-feet,,n/a,0,,1,,,5,8901.9,4,1,,,n/a,0,,1,,,8901.9,7,8226.517,n/a,0,9,208.933,5,22.25475,2,0.0125,22.25475,8457.70475,,22.25475,1,0.0025,,4,85.20656566,1,0.01,,,20.5662925,1,0.0025,,128.0276082,316.1676418,444.19525,675.383,8,215.1,7,13425,62.41283124,,Yes,5,75,10,22943091.84,8,5.46,$/100 cubic feet (ccf),5,878.73,62,1: Volume from own sources,,,128.0276082,316.1676418,444.19525,266.9389792,304497.7906,277825.9919,Variable Production Cost,7.59E-02,3.42E-02,8.513644886,21.02467636,N/A,0.280329018,316.1676418,1.184419161,acre-ft/yr
1859,Paradise Irrigation District,9/20/17 14:37,2016,George Barber,gbarber@paradiseirrigation.com,530-877-4971,,Paradise Irrigation District,Paradise,California (CA),USA,2016,Calendar Year,1/1/16,12/31/16,,Acre-feet,CA0410007,3,4359.06,2,1,,,3,240.64,2,1,,,3,240.64,2,1,,,4359.06,5,4002.555,n/a,0,10,2.261,5,10.89765,2,0.0125,10.89765,4015.71365,,10.89765,1,0.0025,,2,60.98704569,1,0.015,,,10.0063875,1,0.0025,,81.89108319,261.4552668,343.34635,356.505,5,177.91,3,8632,48.51891406,,Yes,5,91,10,7000056,9,1.32,$/100 cubic feet (ccf),5,52.8,52,1: Volume from own sources,,,81.89108319,261.4552668,343.34635,230.0925638,47086.7177,13804.83809,Variable Production Cost,8.18E-02,8.80E-03,8.469375293,27.04034054,N/A,0.297146599,261.4552668,1.136304722,acre-ft/yr
25,Alco Water Service,9/21/17 8:30,2016,Mohsen Ben Kahia,mail@alcowater.com,8.31E+09,7016,SALINAS / ALCO WATER SERVICE,Salinas,California (CA),USA,2016,Calendar Year,1/1/16,12/31/16,3/24/17,Million gallons (US),2710001,8,1146.084,8,1,-0.0158,,n/a,0,,1,,,n/a,0,,1,,,1164.482829,8,1114.447,n/a,0,n/a,0,4,0.679,2,0.0125,0.679,1115.126,,2.911207072,1,0.0025,,4,0.323283382,1,0.00029,,,2.7861175,1,0.0025,,6.020607954,43.33622074,49.35682869,50.03582869,7,88.1,8,8633,97.99091941,5,Yes,10,65.91,10,9511616,10,2.59,$/100 cubic feet (ccf),5,670.58,74,1: Volume from own sources,,,6.020607954,43.33622074,49.35682869,42.61894928,20845.30988,29060.4029,Variable Production Cost,4.30E-02,5.29E-03,1.910670255,13.7529679,N/A,0.208662842,43.33622074,1.016829872,MG/Yr
1109,Groveland Community Services District,9/21/17 8:36,2016,Angela Costanzo,angela.costanzo@am-ce.com,5.59E+09,,Groveland Community Services District,Groveland/Big Oak Flat,California (CA),Tuolumne,2016,Calendar Year,1/1/16,12/31/16,7/11/17,Million gallons (US),CA5510009,n/a,0,,1,,,3,125.45,1,1,,-1.910406091,n/a,0,,1,,,125.45,5,94.834,n/a,0,n/a,0,7,3,2,0.0125,3,97.834,,0.313625,1,0.0025,,3,0.957919192,1,0.01,,,0.237085,1,0.0025,,1.508629192,26.10737081,27.616,30.616,3,70.98484848,8,3258,45.89711846,,Yes,3,100,10,2530704,10,10.00193938,$/1000 gallons (US),5,2689.96,51,1: Volume from own sources,,,1.508629192,26.10737081,27.616,31.85457311,15089.21773,70227.78318,Variable Production Cost,0.244049422,3.69E-02,1.268640474,21.95427971,N/A,0.219542797,26.10737081,0.819579993,MG/Yr
1443,Livermore  City Of,9/21/17 13:50,2016,Dave Lennier,dblennier@cityoflivermore.net,925-960-8138,,City of Livermore Water,Livermore,California (CA),US,2016,Calendar Year,1/1/16,12/31/16,3/29/17,Million gallons (US),CA0110011,n/a,,,1,,,7,1569.772,3,1,0,,n/a,,,1,,,1569.772,8,1414.267,n/a,,n/a,,7,7.59,2,0.0125,7.59,1421.857,,3.92443,1,0.0025,,5,21.53706091,1,0.015,23.546,,3.5356675,1,0.0025,,28.99715841,118.9178416,147.915,155.505,10,160.4,9,10203,63.60972569,,Yes,4,68.4,10,10409965.53,5,7.25,$/100 cubic feet (ccf),9,4443.27,70,1: Volume from own sources,,,28.99715841,118.9178416,147.915,59.87381072,281035.829,528384.078,Variable Production Cost,9.91E-02,8.10E-02,7.786363778,31.93201075,N/A,0.466842262,118.9178416,1.986141188,MG/Yr
1456,Lomita  City Of,9/21/17 16:23,2016,Mark McAvoy,m.mcavoy@lomitacity.com,310-325-7110,124,City of Lomita,,California (CA),USA,2016,Calendar Year,1/1/16,12/31/16,,Acre-feet,,5,487.51,3,1,,,5,1527.9,1,1,,,n/a,0,,1,,,2015.41,5,1860.2993,n/a,0,5,20.64,5,5.038525,2,0.0125,5.038525,1885.977825,,5.038525,1,0.0025,,5,18.99938687,1,0.01,,,4.65074825,1,0.0025,,28.68866012,100.7435149,129.432175,155.1107,8,43,8,4305,100.1162791,,Yes,3,55,10,4978963,5,3.88,$/100 cubic feet (ccf),5,1107.85,55,1: Volume from own sources,,,28.68866012,100.7435149,129.432175,54.11508751,48487.50775,111608.703,Variable Production Cost,7.70E-02,3.79E-02,5.949264849,20.89152471,N/A,0.379845904,100.7435149,1.861652998,acre-ft/yr
123,Bakersfield  City Of,9/22/17 7:56,2016,Jason Meadors,jmeadors@bakersfieldcity.us,661-326-3715,,City of Bakersfield,Bakersfield,California (CA),United State of America,2016,Calendar Year,1/1/16,12/31/16,6/2/17,Acre-feet,CA1510031,5,30414.18,2,1,0,,5,7404.27,2,1,0,,n/a,0,2,1,0,,37818.45,5,36544.27,n/a,0,n/a,0,5,94.546125,2,0.0125,94.546125,36638.81613,,94.546125,1,0.0025,,2,745.8014286,1,0.02,,,91.360675,1,0.0025,,931.7082286,247.9256464,1179.633875,1274.18,8,525,8,46397,88.3752381,,Yes,4,70,10,27228359,8,1.35,$/100 cubic feet (ccf),4,246.93,55,1: Volume from own sources,,,931.7082286,247.9256464,1179.633875,768.4020049,547900.3409,61220.27987,Variable Production Cost,3.37E-02,2.32E-02,17.92735525,4.770432418,N/A,0.068149035,247.9256464,0.322650962,acre-ft/yr
2175,San Jose Water Company,9/22/17 10:40,2017,Gavin Devries,gavin.devries@sjwater.com,4.09E+09,,San Jose Water Company,San Jose,California (CA),USA,2017,Financial Year,7/1/16,6/30/17,8/31/17,Million gallons (US),CA 4310011,5,11191.431,8,2,-0.026,-24.138,7,22179.03,8,1,0,,n/a,0,,1,,,33394.599,8,30681.656,10,6.188,10,14.352,10,59.211,2,0.0125,59.211,30761.407,,83.4864975,1,0.0025,,6,272.158,2,0.03,272.158,,76.70414,1,0.0025,,432.3486375,2200.843363,2633.192,2706.755,10,2477,10,233749,94.36778361,,Yes,9,65,10,246041643,9,5.68,$/100 cubic feet (ccf),7,3607.24,75,1: Volume from own sources,,,432.3486375,2200.843363,2633.192,1149.782777,3282847.237,7938970.211,Variable Production Cost,0.081053676,4.67E-02,5.067473294,25.79565193,N/A,0.396856184,2200.843363,1.914138398,MG/Yr
495,Casitas Municipal Water District,9/22/17 12:25,2016,Ron Merckling,rmerckling@casitaswater.com,8.06E+09,118,Casitas Municipal Water District,Oak View,California (CA),USA,2016,Calendar Year,1/1/16,12/31/16,7/7/17,Acre-feet,5610024,5,14186.158,9,2,0.007,89.64,n/a,0,,1,,,n/a,0,,1,,,14096.518,7,12796,n/a,0,n/a,0,6,12.37,2,0.0125,12.37,12808.37,,35.241295,1,0.0025,,5,129.2525253,1,0.01,,,31.99,1,0.0025,,196.4838203,1091.66418,1288.148,1300.518,6,97,9,3197,32.95876289,,Yes,5,80,10,10714070,9,1.15,$/100 cubic feet (ccf),5,131,62,1: Volume from own sources,,,196.4838203,1091.66418,1288.148,89.99851327,98426.60492,143008.0075,Variable Production Cost,9.23E-02,2.27E-02,54.86689089,304.8404666,N/A,3.810505832,1091.66418,12.12980237,acre-ft/yr
2218,Santa Maria  City Of,9/22/17 13:18,2016,Shannon Sweeney,ssweeney@cityofsantamaria.org,805-925-0951,7416,City of Santa Maria,Santa Maria,California (CA),USA,2016,Calendar Year,1/1/16,12/31/16,4/12/17,Acre-feet,4210011,3,1911,3,2,,,7,10195,9,1,,,5,813,9,1,,,11293,3,10731.9,n/a,0,10,4.57,7,45.25,2,0.0125,45.25,10781.72,,28.2325,1,0.0025,1,2,108.4491919,1,0.01,,,26.82975,1,0.0025,,163.5114419,347.7685581,511.28,561.1,8,342,8,22520,65.84795322,10,Yes,5,78,10,25903175,8,4.78,$/100 cubic feet (ccf),4,254.15,61,1: Volume from own sources,,,163.5114419,347.7685581,511.28,456.7953704,340458.292,88385.37904,Variable Production Cost,0.049685646,1.70E-02,6.481954167,13.78631261,N/A,0.176747598,347.7685581,0.761322423,acre-ft/yr
