"","GEOID","NAME","variable","value"
"1","06011","Colusa County, California","P037001",3.5
"2","06007","Butte County, California","P037001",2.99
"3","06001","Alameda County, California","P037001",3.3
"4","06003","Alpine County, California","P037001",2.92
"5","06005","Amador County, California","P037001",2.75
"6","06009","Calaveras County, California","P037001",2.81
"7","06013","Contra Costa County, California","P037001",3.26
"8","06015","Del Norte County, California","P037001",3.05
"9","06031","Kings County, California","P037001",3.59
"10","06021","Glenn County, California","P037001",3.32
"11","06023","Humboldt County, California","P037001",2.91
"12","06025","Imperial County, California","P037001",3.76
"13","06017","El Dorado County, California","P037001",2.99
"14","06019","Fresno County, California","P037001",3.63
"15","06027","Inyo County, California","P037001",2.88
"16","06029","Kern County, California","P037001",3.61
"17","06043","Mariposa County, California","P037001",2.77
"18","06033","Lake County, California","P037001",2.94
"19","06035","Lassen County, California","P037001",2.98
"20","06037","Los Angeles County, California","P037001",3.58
"21","06039","Madera County, California","P037001",3.63
"22","06041","Marin County, California","P037001",2.94
"23","06059","Orange County, California","P037001",3.47
"24","06045","Mendocino County, California","P037001",3.02
"25","06047","Merced County, California","P037001",3.74
"26","06049","Modoc County, California","P037001",2.8
"27","06051","Mono County, California","P037001",2.98
"28","06053","Monterey County, California","P037001",3.66
"29","06055","Napa County, California","P037001",3.23
"30","06057","Nevada County, California","P037001",2.8
"31","06071","San Bernardino County, California","P037001",3.68
"32","06067","Sacramento County, California","P037001",3.31
"33","06069","San Benito County, California","P037001",3.61
"34","06061","Placer County, California","P037001",3.07
"35","06063","Plumas County, California","P037001",2.68
"36","06065","Riverside County, California","P037001",3.61
"37","06077","San Joaquin County, California","P037001",3.59
"38","06073","San Diego County, California","P037001",3.31
"39","06075","San Francisco County, California","P037001",3.11
"40","06093","Siskiyou County, California","P037001",2.82
"41","06079","San Luis Obispo County, California","P037001",2.97
"42","06081","San Mateo County, California","P037001",3.28
"43","06083","Santa Barbara County, California","P037001",3.39
"44","06085","Santa Clara County, California","P037001",3.39
"45","06087","Santa Cruz County, California","P037001",3.22
"46","06089","Shasta County, California","P037001",2.94
"47","06091","Sierra County, California","P037001",2.67
"48","06115","Yuba County, California","P037001",3.39
"49","06095","Solano County, California","P037001",3.3
"50","06097","Sonoma County, California","P037001",3.11
"51","06099","Stanislaus County, California","P037001",3.52
"52","06101","Sutter County, California","P037001",3.46
"53","06103","Tehama County, California","P037001",3.09
"54","06105","Trinity County, California","P037001",2.73
"55","06111","Ventura County, California","P037001",3.47
"56","06113","Yolo County, California","P037001",3.26
"57","06107","Tulare County, California","P037001",3.74
"58","06109","Tuolumne County, California","P037001",2.77
